,0.98,0.99,0.999,0.9999
NZ_LR216064.fa,0,29,49,53
NZ_LR216065.fa,0,13,27,30
NZ_LR216053.fa,0,19,26,29
NC_014494.fa,0,5,5,5
NZ_LR536843.fa,0,6,6,6
NC_011900.fa,0,3,3,3
NC_003098.fa,0,1,1,1
NZ_LR129841.fa,0,13,16,17
NZ_CP031247.fa,0,7,38,41
NZ_CP036529.fa,0,1,1,42
NZ_LR134294.fa,0,4,4,4
NZ_LS483451.fa,0,30,50,54
NZ_LR216023.fa,0,16,21,23
NC_021004.fa,0,12,13,14
NZ_CP035897.fa,0,13,35,38
NC_021028.fa,0,0,0,0
NC_018594.fa,0,2,2,2
NZ_LR216050.fa,0,3,34,37
NZ_CP018347.fa,0,11,44,48
NZ_LR129843.fa,0,0,0,0
NC_003028.fa,0,10,14,15
NZ_CP045931.fa,0,3,33,36
NZ_LR129840.fa,0,7,7,7
NC_014251.fa,0,11,12,56
NC_018630.fa,0,7,8,8
NZ_CP018137.fa,0,11,12,12
NC_017591.fa,0,12,51,55
NC_012469.fa,0,11,40,44
NC_012468.fa,0,25,45,49
NC_011072.fa,0,18,23,25
NZ_LS483523.fa,0,26,46,50
NZ_CP031246.fa,0,9,10,10
NC_010582.fa,0,13,36,39
NZ_CP018838.fa,0,17,22,24
NC_017593.fa,0,13,32,35
NC_021003.fa,0,12,13,28
NZ_AP018937.fa,0,0,18,19
NZ_CP026670.fa,0,3,3,3
NC_021006.fa,0,0,18,21
NZ_AP019192.fa,0,24,41,45
NZ_LN831051.fa,0,7,20,22
NZ_CP018136.fa,0,8,9,9
NZ_CP025076.fa,0,13,15,16
NZ_LR216067.fa,0,6,6,6
NC_012467.fa,0,7,38,41
NZ_LR595848.fa,0,13,16,17
NZ_LS483448.fa,0,17,25,27
NZ_LS483390.fa,0,1,1,1
NZ_CP031248.fa,0,15,19,20
NZ_LR129844.fa,0,0,0,0
NC_010380.fa,0,20,28,31
NC_008533.fa,0,1,1,1
NZ_LS483417.fa,0,28,48,52
NZ_CP031245.fa,0,4,4,4
NZ_CP027540.fa,0,1,1,1
NC_017769.fa,0,11,43,47
NC_012466.fa,0,3,39,43
NZ_AP018391.fa,0,11,31,34
NC_021005.fa,0,0,0,0
NZ_AP018938.fa,0,4,4,4
NZ_AP017971.fa,0,21,29,32
NZ_LS483374.fa,0,1,1,1
NZ_LN847353.fa,0,2,24,26
NZ_LS483450.fa,0,23,37,40
NZ_LR216060.fa,0,14,17,18
NC_014498.fa,0,19,26,29
NZ_CP025838.fa,0,17,42,46
NZ_CP019299.fa,0,22,30,33
NC_017592.fa,0,0,0,0
NZ_CP025256.fa,0,10,14,15
NZ_CP038808.fa,0,1,1,1
NZ_LS483449.fa,0,16,21,23
NZ_CP018138.fa,0,11,12,13
NC_021026.fa,0,0,0,0
NZ_AP018936.fa,0,10,11,11
NZ_CP007593.fa,1,27,47,51
