,0.98,0.99,0.999,0.9999
CP035892.fa,0,0,57,107
CP045048.fa,0,4,21,25
CP000025.fa,0,0,0,0
CP006689.fa,0,5,10,10
CP022559.fa,0,5,10,10
CP044169.fa,0,13,84,144
CP010307.fa,0,5,70,118
CP006006.fa,0,5,38,58
CP008787.fa,0,2,22,26
CP017229.fa,0,19,37,57
CP000538.fa,0,11,23,27
CP028372.fa,0,5,80,138
CP012690.fa,0,21,61,99
CP028909.fa,0,5,71,123
CP035891.fa,0,0,57,91
CP028185.fa,0,4,66,109
CP012689.fa,0,21,61,99
LR134505.fa,0,5,26,36
CP022079.fa,0,5,56,90
CP013116.fa,0,16,31,43
CP017863.fa,0,13,90,151
CP022077.fa,0,5,10,10
CP032522.fa,0,27,58,93
CP010906.fa,0,3,3,3
CP028933.fa,0,0,54,88
LR134502.fa,0,2,51,83
CP022551.fa,0,11,23,115
CP012217.fa,0,20,41,64
CP006688.fa,0,5,10,10
CP007188.fa,0,5,78,134
LR134507.fa,0,2,8,8
AL111168.fa,0,5,10,10
CP012214.fa,0,6,28,38
CP041584.fa,0,13,65,105
CP015209.fa,0,19,82,142
CP007193.fa,0,5,39,59
CP020045.fa,0,3,3,3
CP022439.fa,0,5,10,10
CP028911.fa,0,3,3,3
CP012216.fa,0,1,1,1
CP010072.fa,0,5,59,94
CP012224.fa,0,29,62,100
CP023867.fa,0,5,5,5
CP028912.fa,0,5,33,50
CP034393.fa,0,0,72,125
CP007749.fa,0,13,79,135
CP006708.fa,0,5,29,40
CP022440.fa,0,11,23,32
CP006851.fa,0,16,36,54
CP006707.fa,0,5,29,40
CP044171.fa,0,2,11,12
CP022080.fa,0,2,40,61
CP017862.fa,0,6,6,6
LR134511.fa,0,5,10,153
CP017456.fa,0,19,83,143
CP017859.fa,0,4,81,141
CP007751.fa,0,5,48,77
CP001960.fa,0,0,68,112
CP003871.fa,0,5,89,150
CP012221.fa,0,17,34,51
CP002029.fa,0,21,42,66
CP044167.fa,0,34,77,133
LS483362.fa,0,5,10,10
CP044173.fa,0,14,27,37
LR134498.fa,0,0,47,74
CP019965.fa,0,3,3,3
CP028910.fa,0,5,39,98
CP010301.fa,0,5,59,95
CP044162.fa,0,24,50,82
CP038862.fa,0,15,30,42
CP012149.fa,0,2,22,69
CP043763.fa,0,5,16,19
CP017031.fa,0,5,18,21
CP007192.fa,0,5,39,59
HE978252.fa,0,5,10,10
CP012210.fa,0,2,2,154
CP014344.fa,0,12,86,146
CP007190.fa,0,2,88,149
LR134499.fa,0,19,46,73
CP017033.fa,0,9,13,14
CP012213.fa,0,2,2,2
CP045789.fa,0,5,7,7
CP023446.fa,0,13,74,129
HG428754.fa,0,2,2,121
CP001900.fa,0,2,22,69
CP035894.fa,0,0,57,107
LR134500.fa,0,10,17,20
CP014744.fa,0,5,85,145
CP001876.fa,0,5,44,68
CP023343.fa,0,4,4,4
CP006729.fa,0,5,29,40
CP017856.fa,0,4,55,89
CP012696.fa,0,5,18,81
CP010058.fa,0,5,15,18
CP006709.fa,0,5,29,40
LR134496.fa,0,21,61,122
CP032316.fa,0,33,76,132
CP035895.fa,0,0,57,107
CP023866.fa,0,0,0,0
CP006687.fa,0,5,10,10
CP005081.fa,0,33,76,152
CP017032.fa,0,12,24,30
CP022470.fa,0,2,32,44
CP023543.fa,0,5,7,7
CP017029.fa,0,31,64,102
CP012211.fa,0,2,73,128
CP010306.fa,0,13,25,35
CP000814.fa,0,2,43,67
CP007191.fa,0,5,39,59
CP020776.fa,0,5,19,23
CP012206.fa,0,2,14,15
CP017860.fa,0,4,20,24
CP007189.fa,0,2,88,149
CP014742.fa,0,5,67,110
CP005388.fa,0,32,75,131
CP012220.fa,0,30,63,101
CP006686.fa,0,5,10,10
CP006685.fa,0,5,10,10
CP010495.fa,1,7,9,47
CP010492.fa,1,7,9,106
CP010500.fa,1,7,9,71
CP010506.fa,1,7,9,63
CP010458.fa,1,7,9,75
CP010489.fa,1,7,9,29
CP010480.fa,1,7,9,80
CP010466.fa,1,7,9,55
CP010496.fa,1,7,9,28
CP010491.fa,1,7,9,92
CP010477.fa,1,7,9,126
CP010510.fa,1,7,9,130
CP010488.fa,1,7,9,97
CP010483.fa,1,7,9,76
CP010490.fa,1,7,9,33
CP010462.fa,1,7,9,17
CP010468.fa,1,7,9,39
CP010478.fa,1,7,9,46
CP010474.fa,1,7,9,103
CP010464.fa,1,7,9,22
CP010497.fa,1,7,9,111
CP010467.fa,1,7,9,116
CP010494.fa,1,7,9,31
CP010460.fa,1,7,9,104
CP010463.fa,1,7,9,127
CP010469.fa,1,7,9,86
CP010457.fa,1,7,9,108
CP010484.fa,1,7,9,124
CP010511.fa,1,7,9,137
CP010507.fa,1,7,9,9
CP010508.fa,1,7,9,87
CP010476.fa,1,7,9,56
CP010481.fa,1,7,9,16
CP010487.fa,1,7,9,60
CP010459.fa,1,7,9,147
CP010472.fa,1,7,9,79
CP010470.fa,1,7,9,119
CP010471.fa,1,7,9,140
CP010509.fa,1,7,9,45
CP010505.fa,1,7,9,49
CP010503.fa,1,7,9,62
CP010501.fa,1,7,9,114
CP010499.fa,1,7,9,11
CP010485.fa,1,7,9,120
CP010465.fa,1,7,9,92
CP010498.fa,1,7,9,41
CP010493.fa,1,7,9,139
CP010504.fa,1,7,9,117
CP010502.fa,1,7,9,72
CP010479.fa,1,7,9,92
CP010473.fa,1,7,9,48
CP010482.fa,1,7,9,65
CP010475.fa,1,7,9,34
CP010461.fa,1,7,9,52
CP010486.fa,1,7,9,136
LR134530.fa,2,35,87,148
CP000768.fa,2,26,53,85
CP027403.fa,2,26,53,85
LR134359.fa,2,8,12,13
LS483295.fa,2,28,60,96
CM000854.fa,3,18,35,53
CP012212.fa,4,22,45,70
CM000855.fa,5,23,49,78
LN831025.fa,6,25,52,84
CP019838.fa,6,25,52,84
CP022076.fa,6,25,52,84
LR134497.fa,6,25,69,113
