,0.98,0.99,0.999,0.9999
NC_008769.fa,0,0,1,8
NZ_CP023618.fa,0,0,0,20
NZ_CP023594.fa,0,0,0,60
NZ_CP023599.fa,0,0,0,27
NC_016768.fa,0,0,0,32
NC_021192.fa,0,0,2,31
NZ_CP023614.fa,0,0,0,9
NZ_CP019612.fa,0,0,0,90
NZ_CP008744.fa,0,0,1,8
NZ_CP025602.fa,0,0,0,13
NZ_CP016972.fa,0,0,0,14
NC_017524.fa,0,0,0,78
NZ_AP018033.fa,0,0,0,48
NZ_CP023590.fa,0,0,0,9
NZ_CP023600.fa,0,0,0,76
NZ_CP023598.fa,0,0,0,20
NZ_CP023620.fa,0,0,0,9
NZ_CP002882.fa,0,0,0,80
NZ_CP030093.fa,0,0,0,96
NZ_CP010329.fa,0,0,0,52
NZ_CP023584.fa,0,0,0,100
NZ_CP022578.fa,0,0,0,40
NZ_CP025608.fa,0,0,0,44
NZ_CP023595.fa,0,0,0,27
NZ_CP023585.fa,0,0,0,50
NZ_CP023630.fa,0,0,0,76
NZ_CP025596.fa,0,0,0,73
NZ_CP017593.fa,0,0,0,11
NZ_CP025595.fa,0,0,0,13
NZ_CP023593.fa,0,0,0,20
NZ_CP025593.fa,0,0,0,70
NC_012207.fa,0,0,1,8
NZ_CP016794.fa,0,0,0,102
NZ_CP023573.fa,0,0,0,5
NZ_CP023576.fa,0,0,0,17
NZ_CP010337.fa,0,0,0,57
NZ_CP012506.fa,0,0,0,23
NC_021251.fa,0,0,0,39
NZ_CP023619.fa,0,0,0,20
NZ_AP017901.fa,0,0,0,7
NZ_CP010340.fa,0,0,0,49
NC_020089.fa,0,0,0,64
NZ_CP018305.fa,0,0,0,12
NZ_CP018304.fa,0,0,0,6
NC_020559.fa,0,0,0,28
NC_012943.fa,0,0,0,32
NZ_CP025599.fa,0,0,0,93
NC_020245.fa,0,0,1,8
NZ_CP023612.fa,0,0,0,65
NZ_CP023636.fa,0,0,0,20
NZ_CP023603.fa,0,0,0,65
NZ_CP025605.fa,0,0,0,13
NZ_CP045962.fa,0,0,0,51
NC_002945.fa,0,0,1,99
NZ_CP023601.fa,0,0,0,60
NZ_CP023577.fa,0,0,0,20
NZ_CP017598.fa,0,0,0,11
NZ_CP025601.fa,0,0,0,81
NZ_CP023638.fa,0,0,0,9
NZ_CP023640.fa,0,0,0,20
NZ_CP046529.fa,0,0,0,85
NZ_CP023626.fa,0,0,0,27
NC_017523.fa,0,0,0,61
NZ_CP022704.fa,0,0,0,43
NZ_CP025600.fa,0,0,0,13
NZ_CP022577.fa,0,0,0,40
NZ_CP009426.fa,0,0,0,16
NZ_CP023597.fa,0,0,0,20
NZ_CP023583.fa,0,0,0,58
NZ_CP010338.fa,0,0,0,75
NC_022350.fa,0,0,0,55
NZ_CP018301.fa,0,0,0,84
NZ_CP023575.fa,0,0,0,65
NZ_CP012090.fa,0,0,0,96
NZ_CP019611.fa,0,0,0,55
NZ_CP003494.fa,0,0,1,94
NZ_CP010336.fa,0,0,0,88
NZ_CP023627.fa,0,0,0,33
NZ_CP023607.fa,0,0,0,60
NZ_CP023579.fa,0,0,0,33
NZ_CP002883.fa,0,0,0,46
NZ_CP023629.fa,0,0,0,9
NZ_CP046309.fa,0,0,0,15
NZ_CP023604.fa,0,0,0,97
NZ_CP010330.fa,0,0,0,14
NZ_CP018302.fa,0,0,0,24
NZ_CP002885.fa,0,0,0,98
NZ_CP023592.fa,0,0,0,5
NZ_CP023634.fa,0,0,0,0
NZ_CP018778.fa,0,0,0,71
NZ_CP025598.fa,0,0,0,13
NZ_CP007027.fa,0,0,0,14
NC_015758.fa,0,0,3,63
NC_009565.fa,0,0,0,54
NZ_CP023589.fa,0,0,0,9
NC_002755.fa,0,0,0,42
NZ_CP029065.fa,0,0,0,89
NZ_CP017595.fa,0,0,0,11
NC_018078.fa,0,0,0,32
NZ_AM412059.fa,0,0,1,8
NZ_CP023581.fa,0,0,0,25
NZ_CP019610.fa,0,0,0,29
NZ_CP010339.fa,0,0,0,82
NZ_CP017920.fa,0,0,0,3
NZ_CP025607.fa,0,0,0,105
NZ_CP044345.fa,0,0,0,45
NZ_CP022014.fa,0,0,0,35
NZ_CP019613.fa,0,0,0,47
NZ_CP023621.fa,0,0,0,9
NZ_CP023613.fa,0,0,0,60
NZ_CP023610.fa,0,0,0,95
NZ_CP023582.fa,0,0,0,58
NZ_AP018035.fa,0,0,0,77
NZ_HG813240.fa,0,0,0,92
NZ_CP023623.fa,0,0,0,10
NZ_CP013475.fa,0,0,0,59
NC_009525.fa,0,0,0,14
NZ_CP023608.fa,0,0,0,0
NZ_CP025606.fa,0,0,0,13
NZ_CP007809.fa,0,0,0,53
NZ_CP023591.fa,0,0,0,74
NZ_CP017597.fa,0,0,0,11
NZ_CP023617.fa,0,0,0,60
NZ_CP014566.fa,0,0,1,8
NC_021740.fa,0,0,0,21
NZ_CP023625.fa,0,0,0,20
NC_016804.fa,0,0,1,8
NZ_CP002871.fa,0,0,0,26
NZ_CP023635.fa,0,0,0,9
NC_018143.fa,0,0,0,14
NZ_CP023602.fa,0,0,0,20
NC_017522.fa,0,0,0,72
