,0.98,0.99,0.999,0.9999
NC_018592.fa,0,0,1,1
NZ_CP021174.fa,0,0,27,67
NZ_CP029372.fa,0,0,1,1
NC_020558.fa,0,1,13,95
NZ_HG813247.fa,0,0,0,101
NZ_CP045970.fa,0,1,32,53
NZ_CP025567.fa,0,0,3,22
NZ_CP025560.fa,0,0,25,34
NZ_CP025438.fa,0,0,3,38
NZ_CP007007.fa,0,0,0,0
NC_013766.fa,0,0,0,0
NZ_CP011345.fa,0,0,50,97
NZ_CP008837.fa,0,0,0,0
NZ_CP044429.fa,0,0,1,1
NZ_CP007170.fa,0,0,1,1
NZ_CP019618.fa,0,0,0,75
NZ_CP007009.fa,0,0,0,0
NZ_CP019617.fa,0,1,22,31
NZ_CP008836.fa,0,0,0,0
NZ_CP007196.fa,0,0,3,50
NZ_CP019165.fa,0,0,0,0
NZ_CP007021.fa,0,0,0,0
NZ_LT906436.fa,0,0,1,1
NC_017544.fa,0,0,1,1
NZ_CP033737.fa,0,0,26,35
NC_017546.fa,0,0,3,57
NZ_CP028183.fa,0,1,2,100
NZ_CP006858.fa,0,0,0,0
NC_020557.fa,0,1,13,14
NZ_CP013919.fa,0,0,0,37
NC_017545.fa,0,1,47,82
NZ_CP025568.fa,0,0,3,18
NZ_CP046362.fa,0,0,5,5
NZ_CP025082.fa,0,0,3,103
NZ_CP045969.fa,0,0,27,45
NZ_CP046361.fa,0,0,5,5
NZ_CP041211.fa,0,0,1,1
NZ_CP025440.fa,0,0,3,38
NZ_CP019614.fa,0,0,6,88
NZ_CP019167.fa,0,0,0,0
NZ_CP045972.fa,0,0,3,3
NZ_CP007171.fa,0,0,1,1
NZ_CP007199.fa,0,0,18,26
NC_021837.fa,0,0,18,49
NZ_CP019164.fa,0,0,0,0
NZ_CP007688.fa,0,0,1,1
NZ_CP007020.fa,0,0,0,0
NZ_CP019623.fa,0,0,19,27
NZ_CP023752.fa,0,0,3,7
NZ_CP025222.fa,0,1,7,8
NZ_CP021325.fa,0,0,3,87
NZ_CP006859.fa,0,0,0,0
NZ_CP007200.fa,0,0,18,26
NZ_CP019621.fa,0,0,4,4
NZ_CP013722.fa,0,0,37,62
NZ_CP013724.fa,0,0,0,29
NC_022568.fa,0,0,1,1
NZ_CP029175.fa,0,1,15,17
NZ_CP038642.fa,0,0,51,98
NZ_CP007195.fa,0,0,3,20
NZ_CP007684.fa,0,0,1,1
NC_003210.fa,0,0,3,19
NC_021823.fa,0,0,27,69
NC_018589.fa,0,0,3,24
NZ_CP009258.fa,0,0,0,0
NZ_CP007017.fa,0,0,0,0
NZ_LR134397.fa,0,0,1,1
NZ_CP006861.fa,0,0,0,0
NZ_CP020832.fa,0,0,48,84
