,0.98,0.99,0.999,0.9999
NZ_LT992474.fa,0,1,1,112
NZ_CP026077.fa,0,2,2,51
NZ_CP025495.fa,0,2,2,2
NZ_CP034098.fa,0,7,15,102
NZ_CP012119.fa,0,2,2,2
NZ_CP040232.fa,0,1,1,280
NZ_AP014921.fa,0,2,2,88
NZ_CP026073.fa,0,2,8,54
NZ_CP043302.fa,0,2,2,190
NZ_LT992460.fa,0,1,1,200
NZ_CP014064.fa,0,2,9,162
NC_020529.fa,0,2,9,99
NZ_CP007670.fa,0,2,2,133
NC_007793.fa,0,2,2,2
NZ_CP019593.fa,0,1,1,29
NZ_CP020714.fa,0,2,21,263
NZ_CP014409.fa,0,2,2,2
NZ_CP038269.fa,0,5,13,291
NZ_CP035369.fa,0,2,2,2
NZ_LR027873.fa,0,2,7,34
NZ_CP012979.fa,0,2,26,62
NZ_CP023561.fa,0,2,2,106
NZ_CP013137.fa,0,6,52,203
NZ_CP017685.fa,0,3,4,315
NZ_CP021905.fa,0,7,15,25
NZ_CP019594.fa,0,1,1,21
NZ_CP029080.fa,0,3,4,4
NZ_CP020957.fa,0,2,2,201
NZ_CP023500.fa,0,2,2,40
NZ_CP039167.fa,0,2,37,239
NZ_CP040622.fa,0,2,7,81
NZ_CP029673.fa,0,2,9,294
NC_017338.fa,0,10,33,87
NC_017340.fa,0,2,9,289
NZ_CP013955.fa,0,2,9,74
NC_009632.fa,0,2,9,114
NZ_LS483324.fa,0,2,31,78
NZ_CP031886.fa,0,3,4,288
NZ_AP019305.fa,0,2,9,18
NZ_CP015646.fa,0,2,32,306
NZ_CP028190.fa,0,7,15,302
NZ_CP012011.fa,0,2,19,198
NZ_CP041010.fa,0,2,53,208
NZ_LT996890.fa,0,2,26,110
NZ_AP018922.fa,0,2,35,95
NZ_CP013959.fa,0,2,7,10
NZ_CP006630.fa,0,5,13,271
NC_002953.fa,0,2,8,188
NZ_CP017094.fa,0,2,2,2
NZ_CP038270.fa,0,4,23,56
NZ_CP039164.fa,0,2,57,224
NZ_LR134351.fa,0,7,16,42
NZ_CP020956.fa,0,2,2,13
NZ_CP019945.fa,0,2,21,129
NZ_CP011685.fa,0,2,9,257
NC_009782.fa,0,2,9,44
NZ_CP029084.fa,0,3,4,32
NZ_CP015447.fa,0,2,7,204
NZ_CP029681.fa,0,2,18,111
NZ_CP031673.fa,0,2,2,222
NZ_CP017680.fa,0,2,8,122
NZ_LT992465.fa,0,1,1,108
NZ_CP017684.fa,0,7,16,52
NZ_CP022582.fa,0,2,9,31
NZ_CP019595.fa,0,1,1,94
NZ_CP033990.fa,0,2,9,12
NZ_CP031265.fa,0,2,8,229
NZ_CP010998.fa,0,2,18,101
NZ_CP040619.fa,0,2,2,121
NZ_CP022900.fa,0,7,16,28
NZ_LT992470.fa,0,1,1,196
NZ_LR133917.fa,0,2,28,65
NZ_CP042153.fa,0,2,9,305
NZ_CP025395.fa,0,4,12,66
NZ_CP020354.fa,0,2,35,117
NZ_CP045472.fa,0,5,13,27
NZ_CP019592.fa,0,1,1,132
NZ_CP014412.fa,0,2,2,2
NZ_LT992472.fa,0,1,1,80
NZ_CP026646.fa,0,2,8,8
NZ_LR134084.fa,0,4,39,157
NZ_CP032051.fa,0,4,10,187
NZ_CP040233.fa,0,1,1,241
NZ_LS483319.fa,0,2,2,267
NZ_CP023391.fa,0,2,2,228
NZ_CP038612.fa,0,4,10,175
NZ_CP018766.fa,0,2,9,124
NZ_CP029172.fa,0,1,58,231
NZ_CP031670.fa,0,2,2,11
NZ_CP019590.fa,0,2,2,2
NZ_CP026074.fa,0,2,9,33
NZ_CP031888.fa,0,2,2,2
NZ_CP013182.fa,0,5,13,159
NZ_CP014435.fa,0,2,2,2
NZ_CP040229.fa,0,1,1,212
NZ_LT996891.fa,0,2,26,110
NZ_CP009423.fa,0,2,2,2
NZ_CP011147.fa,0,2,9,245
NZ_CP038460.fa,0,4,10,187
NZ_AP017377.fa,0,2,2,182
NC_022443.fa,0,5,13,23
NZ_LT598688.fa,0,2,2,228
NZ_CP007690.fa,0,2,2,2
NZ_CP014384.fa,0,2,2,2
NZ_CP029653.fa,0,7,61,286
NZ_CP033977.fa,0,2,9,73
NC_017337.fa,0,4,10,300
NZ_LR134086.fa,0,0,3,213
NZ_CP043389.fa,0,2,2,2
NZ_CP013132.fa,0,2,8,84
NZ_CP007499.fa,0,2,2,46
NZ_CP009681.fa,0,2,19,168
NZ_AP017891.fa,0,5,55,233
NZ_CP012976.fa,0,2,28,104
NZ_LR134193.fa,0,0,3,3
NZ_CP029680.fa,0,2,9,171
NZ_CP022908.fa,0,2,2,14
NZ_CP026968.fa,0,2,9,143
NZ_LT992469.fa,0,1,1,199
NZ_LS483302.fa,0,3,43,146
NZ_LT992473.fa,0,1,1,196
NZ_CP017677.fa,0,2,9,202
NZ_CP007447.fa,0,2,7,296
NZ_CP022896.fa,0,7,16,154
NZ_AP014653.fa,0,2,18,41
NZ_CP022906.fa,0,2,2,14
NZ_CP009554.fa,0,7,16,119
NZ_CP020960.fa,0,2,2,285
NZ_CP026064.fa,0,0,3,135
NZ_CP022905.fa,0,2,9,15
NZ_LT992468.fa,0,1,1,166
NZ_CP032481.fa,0,4,23,56
NC_020564.fa,0,2,9,99
NZ_CP030137.fa,0,2,2,82
NZ_CP029627.fa,0,2,5,5
NZ_CP022290.fa,0,2,2,89
