,0.98,0.99,0.999,0.9999
NZ_CP031800.fa,0,0,43,72
NZ_CP031721.fa,0,0,7,38
NZ_CP031792.fa,0,0,5,5
NZ_CP035540.fa,0,0,74,137
NZ_CP032222.fa,0,0,1,33
NZ_CP023722.fa,0,0,7,107
NZ_CP028180.fa,0,0,6,6
NZ_CP027068.fa,0,0,7,245
NZ_CP041092.fa,0,0,80,158
NZ_CP021859.fa,0,0,6,172
NZ_CP021539.fa,0,0,6,6
NC_009648.fa,0,0,3,3
NZ_CP025211.fa,0,0,92,180
NZ_CP019219.fa,0,0,126,268
NZ_CP044380.fa,0,3,131,276
NZ_CP009771.fa,0,0,6,256
NZ_CP027036.fa,0,0,8,294
NZ_CP036450.fa,0,0,8,145
NZ_CP040993.fa,0,0,13,17
NZ_CP037742.fa,0,0,11,282
NZ_CP018701.fa,0,0,1,1
NZ_CP015753.fa,0,0,100,199
NZ_CP045015.fa,0,0,37,168
NZ_CP027189.fa,0,0,11,263
NZ_CP023249.fa,0,0,1,186
NZ_CP025541.fa,0,0,85,167
NZ_CP033777.fa,0,0,58,102
NZ_CP028583.fa,0,0,7,7
NZ_CP024482.fa,0,0,63,114
NZ_CP036442.fa,0,0,33,52
NZ_CP024549.fa,0,0,8,8
NZ_CP026153.fa,0,0,119,240
NZ_CP015822.fa,0,0,6,6
NZ_CP027612.fa,0,0,99,198
NZ_CP034415.fa,0,0,7,68
NZ_CP031368.fa,0,0,90,178
NZ_CP006722.fa,0,0,94,284
NZ_CP030174.fa,0,0,93,182
NZ_CP027042.fa,0,0,1,187
NZ_LR025088.fa,0,0,37,87
NZ_CP024504.fa,0,0,36,57
NZ_CP032831.fa,0,0,28,123
NZ_CP024499.fa,0,0,36,57
NZ_CP024038.fa,0,0,37,192
NZ_CP032833.fa,0,0,134,287
NZ_CP022924.fa,0,0,35,55
NZ_CP007731.fa,0,0,38,62
NZ_CP041023.fa,0,0,54,96
NZ_CP036320.fa,0,0,39,64
NZ_CP040539.fa,0,0,7,237
NZ_CP042481.fa,0,0,59,103
NZ_CP026178.fa,0,0,76,147
NZ_CP018140.fa,0,0,1,1
NZ_CP041644.fa,0,0,119,264
NZ_CP027160.fa,0,0,6,94
NZ_CP031798.fa,0,0,21,30
NZ_CP028932.fa,0,0,15,20
NZ_AP018747.fa,0,0,15,252
NZ_CP032163.fa,0,0,7,122
NZ_CP009114.fa,0,0,112,277
NZ_CP015130.fa,0,0,70,129
NZ_CP018713.fa,0,0,1,1
NZ_CP035194.fa,0,0,124,261
NZ_CP011985.fa,0,0,6,106
NZ_CP029137.fa,0,0,0,279
NZ_CP031849.fa,0,0,83,163
NZ_CP034053.fa,0,0,0,40
NZ_CP028716.fa,0,0,123,258
NZ_CP020071.fa,0,0,6,6
NZ_CP036187.fa,0,0,0,95
NZ_CP022919.fa,0,0,35,55
NZ_CP006918.fa,0,0,6,249
NZ_CP011624.fa,0,0,17,23
NZ_CP044385.fa,0,0,71,132
NZ_CP034200.fa,0,0,61,108
NZ_CP042520.fa,0,0,111,223
NZ_CP036365.fa,0,0,7,7
NZ_CP021549.fa,0,0,6,6
NZ_CP024548.fa,0,0,18,24
NZ_CP034045.fa,0,0,0,211
NZ_CP030072.fa,0,0,77,150
NZ_CP024570.fa,0,0,8,8
NZ_CP034123.fa,0,0,7,143
NZ_CP014004.fa,0,0,15,242
NZ_CP026145.fa,0,0,7,251
NZ_CP025466.fa,0,0,14,18
NZ_CP029738.fa,0,0,101,200
NZ_CP021939.fa,0,0,1,75
NZ_CP040545.fa,0,0,7,257
NZ_CP034077.fa,0,0,0,154
NZ_CP041082.fa,0,0,12,300
NZ_CP024838.fa,0,0,1,9
NZ_CP018337.fa,0,0,105,207
NZ_CP031577.fa,0,0,98,196
NZ_LR588408.fa,0,0,91,179
NZ_CP019047.fa,0,0,11,130
NZ_CP021696.fa,0,0,89,175
NZ_CP010361.fa,0,0,6,131
NZ_CP036190.fa,0,0,11,225
NZ_CP029587.fa,0,0,37,60
NZ_CP012992.fa,0,0,40,67
NZ_CP041934.fa,0,0,79,156
NZ_CP028797.fa,0,0,7,193
NZ_CP010392.fa,0,0,6,66
NZ_CP022916.fa,0,0,35,55
NZ_CP023946.fa,0,0,8,222
NZ_CP033625.fa,0,0,12,13
NZ_LR025092.fa,0,0,37,87
NZ_FO834906.fa,0,0,20,29
NZ_CP018707.fa,0,0,1,1
NZ_AP021880.fa,0,0,1,293
NZ_CP031817.fa,0,0,42,71
NZ_CP018437.fa,0,0,6,28
NZ_CP043562.fa,0,0,23,35
NZ_CP014123.fa,0,0,45,74
NZ_CP036438.fa,0,0,128,271
NZ_CP041373.fa,0,0,7,149
NZ_CP014755.fa,0,0,1,75
NZ_CP020837.fa,0,0,6,6
NZ_CP034327.fa,0,0,7,289
NZ_CP006923.fa,0,0,6,117
NZ_CP009775.fa,0,0,6,97
NC_012731.fa,0,0,11,12
NZ_CP018427.fa,0,0,6,28
NZ_CP018695.fa,0,0,1,1
NZ_CP035202.fa,0,0,132,280
NZ_CP018883.fa,0,0,19,105
NZ_CP016159.fa,0,0,100,199
NZ_CP026162.fa,0,0,62,109
NZ_CP013322.fa,0,0,17,23
NZ_LR588412.fa,0,0,120,243
NZ_CP018458.fa,0,0,0,247
NZ_CP030070.fa,0,0,28,46
NZ_CP024874.fa,0,0,0,116
NZ_CP008827.fa,0,0,6,6
NZ_CP008831.fa,0,0,6,32
NZ_CP032185.fa,0,0,37,69
NZ_CP036335.fa,0,0,0,19
NZ_CP021960.fa,0,0,75,139
NZ_LR588410.fa,0,0,2,2
NZ_CP026017.fa,0,0,32,134
NZ_CP026136.fa,0,0,7,251
NZ_CP031814.fa,0,0,116,235
NZ_CP024535.fa,0,0,8,8
NZ_CP028176.fa,0,0,0,63
NZ_CP012426.fa,0,0,1,1
NZ_CP018676.fa,0,0,8,34
NZ_CP024515.fa,0,0,36,57
NZ_CP021950.fa,0,0,74,137
NZ_CP028542.fa,0,0,7,159
NZ_CP015385.fa,0,0,8,141
NZ_CP041639.fa,0,0,37,151
NZ_CP028793.fa,0,0,7,15
NZ_CP040175.fa,0,0,16,22
NZ_CP043047.fa,0,0,6,115
NZ_CP037927.fa,0,0,14,259
NZ_CP013711.fa,0,0,4,4
NZ_CP015392.fa,0,0,6,59
NZ_CP036371.fa,0,0,7,159
NZ_CP017994.fa,0,0,11,146
NZ_CP022127.fa,0,0,0,288
NZ_CP031734.fa,0,0,15,90
NZ_CP026011.fa,0,0,11,12
NZ_CP023839.fa,0,0,1,1
NZ_CP020061.fa,0,0,52,84
NZ_CP024496.fa,0,0,36,57
NZ_CP011976.fa,0,0,6,285
NZ_AP018671.fa,0,0,7,101
NZ_CP035210.fa,0,0,22,31
NZ_CP027048.fa,0,0,6,99
NZ_CP028391.fa,0,0,9,10
NZ_CP028787.fa,0,0,65,120
NZ_CP023487.fa,0,0,12,25
NZ_CP024556.fa,0,0,8,8
NZ_CP034039.fa,0,0,109,216
NZ_CP028548.fa,0,0,7,295
NC_022566.fa,0,0,44,73
NZ_CP021718.fa,0,0,6,6
NZ_CP040593.fa,0,0,0,174
NZ_CP024429.fa,0,0,1,9
NZ_CP031795.fa,0,0,33,299
NC_022082.fa,0,0,86,169
NZ_CP024707.fa,0,0,94,184
NZ_CP029689.fa,0,0,7,202
NZ_CP009461.fa,0,0,64,118
NZ_CP024191.fa,0,0,8,8
NZ_CP026159.fa,0,0,127,270
NZ_CP029099.fa,0,0,6,6
NZ_CP025037.fa,0,0,6,189
NZ_CP015382.fa,0,0,32,51
NZ_CP020498.fa,0,0,6,131
NZ_CP033946.fa,0,0,39,160
NZ_CP017385.fa,0,0,0,273
NZ_CP033954.fa,0,0,7,68
NZ_CP044047.fa,0,0,39,239
NZ_CP020901.fa,0,0,74,221
NZ_CP016813.fa,0,0,11,234
NZ_CP034408.fa,0,0,15,54
NZ_CP009876.fa,0,0,32,255
NZ_CP024521.fa,0,0,8,8
NZ_CP021165.fa,0,0,95,185
NZ_CP025140.fa,0,0,35,113
NZ_CP018735.fa,0,0,12,230
NZ_CP021740.fa,0,0,102,203
NZ_LR133964.fa,0,0,122,248
NZ_CP044039.fa,0,0,1,56
NZ_CP034249.fa,0,0,14,177
NZ_CP028994.fa,0,0,125,262
NZ_CP018454.fa,0,0,7,219
NZ_CP035383.fa,0,0,11,153
NZ_CP026140.fa,0,0,7,144
NZ_CP032178.fa,0,0,12,291
NZ_CP018438.fa,0,0,8,126
NC_016845.fa,0,0,14,42
NZ_CP012745.fa,0,0,1,278
NZ_CP016926.fa,0,0,15,292
NZ_CP029582.fa,0,0,1,1
NZ_CP026160.fa,0,0,115,233
NZ_CP025461.fa,0,0,7,16
NZ_CP020841.fa,0,0,75,229
NZ_CP044389.fa,0,0,73,136
NZ_CP040724.fa,0,0,1,61
NZ_CP031562.fa,0,0,47,77
NZ_CP021708.fa,0,0,15,21
NZ_CP015134.fa,0,0,114,232
NZ_CP008797.fa,0,0,6,27
NZ_CP025146.fa,0,0,35,246
NZ_CP012744.fa,0,0,61,166
NZ_CP028478.fa,0,0,110,218
NZ_CP009872.fa,0,0,6,32
NZ_CP023416.fa,0,0,96,191
NZ_CP012883.fa,0,0,104,206
NZ_CP036327.fa,0,0,39,157
NZ_CP014762.fa,0,0,106,209
NZ_CP032175.fa,0,0,113,228
NZ_CP036361.fa,0,0,7,7
NZ_CP030341.fa,0,0,6,6
NZ_CP027697.fa,0,0,6,190
NZ_CP031789.fa,0,0,62,226
NZ_CP025008.fa,0,0,6,82
NZ_CP035531.fa,0,0,26,44
NZ_CP018447.fa,0,0,12,110
NZ_CP040363.fa,0,0,117,236
NZ_CP029722.fa,0,1,60,104
NZ_CP012560.fa,0,0,37,80
NZ_CP022997.fa,0,0,7,296
NZ_CP028783.fa,0,0,86,265
NZ_CP032207.fa,0,0,8,214
NZ_CP036305.fa,0,0,7,197
NZ_CP032200.fa,0,0,99,253
NZ_CP035905.fa,0,0,11,260
NZ_CP018450.fa,0,0,12,110
NZ_CP026177.fa,0,0,87,171
NZ_CP031885.fa,0,0,65,120
NZ_CP020108.fa,0,0,6,165
NZ_CP033405.fa,0,0,7,38
NZ_CP032167.fa,0,0,103,205
NZ_CP012987.fa,0,0,40,67
NZ_CP006659.fa,0,0,29,47
NZ_CP043932.fa,0,0,69,127
NZ_CP021955.fa,0,0,27,45
NZ_CP031808.fa,0,0,84,164
NZ_CP015120.fa,0,0,44,183
NZ_CP033960.fa,0,0,7,231
NZ_CP026495.fa,0,0,35,55
NZ_CP037963.fa,0,0,65,120
NZ_CP031810.fa,0,0,68,125
NZ_CP040533.fa,0,0,7,250
NZ_CP024563.fa,0,0,8,8
NZ_CP028990.fa,0,1,60,170
NZ_CP008929.fa,0,0,0,0
NZ_CP009208.fa,0,0,48,78
NZ_CP009863.fa,0,0,67,124
NZ_CP041099.fa,0,0,65,138
NZ_CP036300.fa,0,0,7,38
NZ_CP014008.fa,0,0,56,92
NZ_CP024834.fa,0,0,1,9
NZ_CP016814.fa,0,0,11,201
NZ_CP046381.fa,0,0,25,43
NZ_CP018056.fa,0,0,135,290
NZ_CP025005.fa,0,0,6,283
NZ_CP025684.fa,0,0,41,70
NZ_CP026586.fa,0,0,44,86
NZ_CP025080.fa,0,0,11,281
NZ_CP035929.fa,0,0,0,142
NZ_CP025456.fa,0,0,7,241
NZ_CP006798.fa,0,0,15,20
NZ_CP015025.fa,0,0,129,272
NZ_CP035179.fa,0,0,12,119
NZ_CP024528.fa,0,0,8,8
NZ_CP029590.fa,0,0,37,60
