,0.98,0.99,0.999,0.9999
NZ_CP019864.fa,0,0,0,11
NZ_CP026614.fa,0,0,0,11
NZ_CP045224.fa,0,0,0,21
NZ_CP033213.fa,0,0,0,18
NZ_CP033216.fa,0,0,0,13
NZ_CP033214.fa,0,0,0,18
NZ_CP026613.fa,0,0,0,11
NZ_CP026615.fa,0,0,0,11
NZ_CP012325.fa,0,0,0,21
NC_017174.fa,0,0,0,0
NZ_CP025044.fa,1,1,1,1
NZ_CP026592.fa,1,1,1,1
NZ_CP025047.fa,1,4,13,19
NZ_CP020378.fa,1,2,2,14
NZ_CP026596.fa,1,1,1,1
NZ_CP025046.fa,1,4,12,17
NZ_CP026599.fa,1,1,1,1
NZ_CP020379.fa,1,2,2,2
NZ_CP011848.fa,1,1,1,1
NZ_CP019857.fa,1,4,4,4
NZ_CP016104.fa,1,3,19,28
NZ_CP026593.fa,1,1,1,1
NZ_CP010888.fa,1,4,18,27
NZ_CP012320.fa,1,1,1,8
NZ_CP011968.fa,1,4,4,12
NZ_CP026591.fa,1,1,1,1
NZ_CP019870.fa,1,4,8,9
NZ_CP046327.fa,1,1,1,1
NZ_CP011846.fa,1,1,1,1
NC_009089.fa,1,4,14,20
NZ_CP012321.fa,1,4,10,15
NZ_CP016318.fa,1,4,14,20
NZ_CP029154.fa,1,3,5,5
NZ_CP025045.fa,1,4,8,9
NZ_CP029152.fa,1,3,5,24
NZ_LR698984.fa,1,1,1,1
NZ_CP016106.fa,1,4,15,23
NZ_CP020424.fa,1,4,4,12
NZ_CP012323.fa,1,3,3,3
NZ_CP042267.fa,1,4,20,29
NZ_CP013196.fa,1,4,7,7
NZ_CP026598.fa,1,1,1,1
NZ_CP016102.fa,1,3,5,22
NZ_CP012309.fa,1,4,11,16
NZ_CP019860.fa,1,4,6,6
NZ_CP012312.fa,1,3,9,10
NZ_CP026594.fa,1,1,1,1
NC_013315.fa,1,1,1,1
NZ_CP026597.fa,1,1,1,1
NZ_CP022524.fa,1,4,8,9
NZ_CP020380.fa,1,2,2,2
NZ_CP019858.fa,1,4,17,26
NZ_LN614756.fa,1,4,14,20
NZ_CP011847.fa,1,4,16,25
NZ_CP026595.fa,1,1,1,1
NC_017179.fa,1,1,1,1
