,0.98,0.99,0.999,0.9999
CP015951.fa,0,0,0,0
LR133933.fa,0,0,16,29
LR134332.fa,0,0,0,8
CP003192.fa,0,0,16,29
CP015944.fa,0,0,31,39
CP045974.fa,0,0,7,7
CP015932.fa,0,0,24,30
CP015939.fa,0,0,0,0
CP015945.fa,0,0,0,0
CP015933.fa,0,0,0,9
CP003023.fa,0,0,0,11
CP015950.fa,0,0,0,48
CP015937.fa,0,0,0,9
LT632616.fa,0,0,13,16
CP015930.fa,0,0,0,8
AE017354.fa,0,0,0,0
CP015935.fa,0,0,0,0
CP015938.fa,0,0,15,18
CP015925.fa,0,0,0,0
CP003730.fa,0,0,20,23
CP015934.fa,0,0,0,0
CP015946.fa,0,0,0,8
LT598657.fa,0,0,16,19
CP015931.fa,0,0,0,8
CP015936.fa,0,0,0,0
CP015929.fa,0,0,0,8
CP015949.fa,0,0,0,0
CP015941.fa,0,0,21,24
CP003885.fa,0,0,30,37
CP015927.fa,0,0,0,8
CP015956.fa,0,0,0,47
CP015928.fa,0,0,0,0
CP003024.fa,0,0,0,11
CP040987.fa,0,0,0,8
CP021267.fa,0,0,0,9
CP015953.fa,0,0,0,52
CP015926.fa,0,0,0,35
CP015947.fa,0,0,0,0
CP015955.fa,0,0,0,0
CP015954.fa,0,0,0,0
CP014257.fa,1,1,33,41
CP014256.fa,1,1,1,1
LS483412.fa,1,1,1,1
CP014255.fa,1,1,33,41
CP021262.fa,1,1,1,1
LR134380.fa,1,1,1,1
CP021270.fa,2,16,37,49
CP021260.fa,2,2,2,2
CP021274.fa,2,3,3,3
CP021261.fa,2,2,2,2
CP021256.fa,2,18,45,58
CP021272.fa,2,3,3,28
CP021257.fa,3,4,38,50
CP017602.fa,3,4,26,32
CP021264.fa,3,4,34,42
CP017458.fa,3,4,12,15
CP021259.fa,3,10,14,17
CP021258.fa,3,4,19,22
CP021265.fa,3,4,4,4
CP017601.fa,3,4,26,32
CP017457.fa,3,4,42,55
CP021263.fa,3,4,17,20
CP021279.fa,3,4,44,57
CP021277.fa,3,4,36,45
CP001828.fa,4,5,5,5
CP000675.fa,4,5,35,43
CP016872.fa,5,6,6,6
CP016870.fa,5,6,25,31
CP016874.fa,5,6,25,31
CP016876.fa,5,6,6,6
CP016873.fa,5,6,6,6
CP021283.fa,5,13,23,27
LR134176.fa,5,12,22,25
LT632617.fa,5,8,9,12
CP016868.fa,5,6,25,31
CR628337.fa,5,6,25,31
CP011105.fa,6,9,11,14
CP048618.fa,6,9,10,13
CP012019.fa,6,19,46,59
CP021281.fa,6,7,8,26
CP021268.fa,6,9,41,54
CP016030.fa,6,7,8,10
CP016029.fa,6,9,32,40
LT632614.fa,6,9,11,38
LT632615.fa,6,9,39,51
CR628336.fa,6,7,8,46
CP021286.fa,6,7,8,44
CP015344.fa,7,11,18,21
CP015343.fa,7,11,18,21
CP021269.fa,7,11,43,56
LS483410.fa,7,11,43,56
LT906476.fa,7,11,27,33
FQ958211.fa,7,15,29,36
CP021266.fa,7,11,27,33
CP015342.fa,7,11,18,21
CP014760.fa,7,11,18,21
CP014759.fa,7,11,18,21
FQ958210.fa,8,14,28,34
LT906452.fa,8,17,40,53
