,0.98,0.99,0.999,0.9999
CP020008.fa,0,24,32,33
CP007470.fa,0,0,0,0
CP020009.fa,0,24,32,33
CP031690.fa,0,17,31,56
CP009610.fa,0,17,54,57
CP031681.fa,0,17,18,19
LN831035.fa,0,17,33,34
CP031688.fa,0,17,31,32
CP031686.fa,0,13,24,25
LS483438.fa,0,13,13,13
CP031683.fa,0,33,46,47
CP031242.fa,0,35,48,49
CP031679.fa,0,17,28,29
CP007472.fa,0,19,20,21
CP031687.fa,0,13,24,25
LS483486.fa,0,7,7,7
CP031678.fa,0,17,28,29
CP000057.fa,0,15,15,15
CP007805.fa,1,1,1,1
CP020007.fa,2,2,2,2
CP020006.fa,2,2,2,2
CP020010.fa,2,32,45,46
CP020011.fa,2,32,45,46
CP002276.fa,2,25,34,35
CP007471.fa,2,18,19,20
CP031684.fa,2,11,11,11
CP020013.fa,2,2,2,2
CP000671.fa,2,11,23,24
CP020012.fa,2,2,2,2
CP020014.fa,2,11,21,22
CP031244.fa,3,5,5,5
FQ670204.fa,3,5,5,5
CP043810.fa,3,9,9,9
CP043770.fa,3,3,3,3
CP043811.fa,3,5,16,17
CP043772.fa,3,3,35,36
CP043771.fa,3,3,35,58
FQ670178.fa,3,3,3,3
CP033168.fa,4,4,4,4
CP031691.fa,4,4,4,4
CP031680.fa,4,38,51,53
CP031689.fa,4,4,4,16
L42023.fa,5,20,22,50
CP031254.fa,5,12,53,55
CP031237.fa,5,6,6,6
CP017811.fa,5,12,12,12
CP020411.fa,5,20,22,23
CP031241.fa,5,6,26,27
LS483392.fa,6,8,8,8
LR590465.fa,7,39,52,54
CP031250.fa,7,10,10,10
CP031249.fa,8,14,55,60
LS483496.fa,8,31,44,45
CP031239.fa,8,14,14,14
CP031236.fa,8,14,27,28
CP008740.fa,9,16,17,18
CP029621.fa,9,16,42,43
LS483480.fa,10,21,25,26
LR134168.fa,10,21,39,40
FQ312006.fa,10,21,38,39
LR134490.fa,11,26,36,37
CP002277.fa,11,22,29,30
CP031692.fa,12,23,30,31
CP031685.fa,12,23,30,31
LR134171.fa,13,27,37,38
LS483411.fa,14,28,40,41
CP005967.fa,14,30,43,44
CP029620.fa,15,29,41,42
CP000672.fa,16,34,47,59
CP044497.fa,16,34,47,48
CP031682.fa,17,36,49,51
CP033167.fa,18,37,50,52
