,0.98,0.99,0.999,0.9999
NZ_CP018828.fa,0,0,6,50
NZ_CP019970.fa,0,0,34,38
NC_020207.fa,0,0,47,57
NZ_LR135197.fa,0,0,64,77
NZ_CP020484.fa,0,0,76,97
NZ_CP041257.fa,0,0,17,18
NZ_CP025077.fa,0,0,79,100
NZ_CP011828.fa,0,0,82,103
NZ_LR135351.fa,0,0,32,88
NZ_CP023784.fa,0,0,6,6
NZ_LR135307.fa,0,0,71,84
NZ_LR135364.fa,0,0,12,25
NZ_LR135181.fa,0,0,18,19
NZ_CP023799.fa,0,0,6,6
NZ_CP017792.fa,0,0,6,24
NZ_CP011281.fa,0,0,6,93
NZ_LR134337.fa,0,0,45,55
NZ_CP040368.fa,0,0,0,0
NZ_LR135243.fa,0,0,30,92
NZ_CP040236.fa,0,0,7,7
NZ_CP014529.fa,0,0,35,44
NC_017022.fa,0,0,72,89
NZ_LR135258.fa,0,0,40,46
NZ_CP023794.fa,0,0,6,6
NZ_LR135344.fa,0,0,12,12
NZ_CP040740.fa,0,0,24,27
NZ_CP035654.fa,0,0,1,15
NZ_CP035666.fa,0,0,1,15
NC_021994.fa,0,0,10,10
NZ_CP018071.fa,0,0,28,31
NZ_LR134105.fa,0,0,52,62
NZ_CP027506.fa,0,0,5,5
NZ_LR135474.fa,0,0,66,79
NZ_LR135482.fa,0,0,4,4
NZ_CP018065.fa,0,0,12,87
NZ_CP017787.fa,0,0,6,24
NZ_CP016163.fa,0,0,46,56
NZ_LR215968.fa,0,0,29,32
NZ_LR135317.fa,0,0,55,66
NZ_CP035660.fa,0,0,1,15
NZ_LR135331.fa,0,0,50,60
NZ_LR134095.fa,0,0,38,43
NZ_LR135384.fa,0,0,14,14
NZ_LR135235.fa,0,0,30,34
NZ_AP019394.fa,0,0,69,82
NZ_CP044264.fa,0,0,25,28
NZ_CP040849.fa,0,0,49,59
NZ_LR135254.fa,0,0,70,83
NZ_LR135357.fa,0,0,75,95
NZ_CP013994.fa,0,0,22,23
NZ_CP025754.fa,0,0,6,52
NZ_CP018128.fa,0,0,35,40
NZ_CP027501.fa,0,0,85,108
NZ_CP041261.fa,0,0,23,26
NZ_CP027497.fa,0,0,43,53
NZ_LR135401.fa,0,0,14,47
NZ_LR135278.fa,0,0,22,33
NZ_LR135219.fa,0,0,30,106
NZ_CP045012.fa,0,0,59,70
NZ_LR135372.fa,0,0,80,101
NZ_CP020488.fa,0,0,76,97
NZ_CP023804.fa,0,0,6,6
NZ_CP025425.fa,0,0,65,78
NZ_LR132067.fa,0,0,63,75
NZ_CP012522.fa,0,0,33,76
NZ_CP027517.fa,0,0,32,36
NZ_CP023423.fa,0,0,56,67
NZ_CP041270.fa,0,0,23,26
NZ_LR135408.fa,0,0,14,47
NZ_LR135203.fa,0,0,21,22
NZ_CP040706.fa,0,0,57,68
NZ_CP040875.fa,0,0,3,3
NZ_LR135297.fa,0,0,12,107
NZ_LR135435.fa,0,0,67,80
NZ_CP018830.fa,0,0,6,50
NZ_LR135185.fa,0,0,15,16
NZ_CP019988.fa,0,0,53,63
NZ_CP021849.fa,0,0,26,29
NZ_LR135191.fa,0,0,84,105
NZ_LR135287.fa,0,0,13,13
NZ_CP034949.fa,0,0,51,61
NZ_CP012430.fa,0,0,9,9
NZ_CP040904.fa,0,0,83,104
NZ_CP044274.fa,0,0,58,69
NZ_LR135174.fa,0,0,77,98
NZ_LR135169.fa,0,0,44,54
NZ_LR135428.fa,0,0,39,45
NZ_LR135339.fa,0,0,12,96
NZ_CP046077.fa,0,0,12,86
NZ_LR135394.fa,0,0,14,47
NZ_LT603678.fa,0,0,16,65
NZ_LR135226.fa,0,0,21,22
NZ_CP019992.fa,0,0,16,17
NC_017960.fa,0,0,86,109
NZ_CP021885.fa,0,0,31,35
NZ_LR135324.fa,0,0,55,66
NZ_CP014449.fa,0,0,60,71
NZ_CP023789.fa,0,0,6,6
NZ_CP035648.fa,0,0,1,15
NZ_LT598663.fa,0,0,27,39
NZ_LR135475.fa,0,0,1,1
NZ_CP013009.fa,0,0,33,37
NZ_CP027402.fa,0,0,11,11
NZ_CP017797.fa,0,0,6,24
NZ_CP040907.fa,0,0,3,3
NZ_CP012460.fa,0,0,6,49
NZ_CP023808.fa,0,0,6,6
NZ_LN999987.fa,0,0,73,90
NZ_LN999844.fa,0,0,48,58
NZ_LR135782.fa,0,0,42,72
NZ_CP023780.fa,0,0,6,6
NZ_LR135170.fa,0,0,42,51
NZ_CP033206.fa,0,0,74,94
NZ_LR135414.fa,0,0,14,47
NZ_LR135293.fa,0,0,36,41
NZ_CP027512.fa,0,0,27,30
NZ_CP019208.fa,0,0,53,91
NZ_LR135179.fa,0,0,37,42
NZ_LR135488.fa,0,0,54,64
NZ_CP028727.fa,0,0,20,21
NZ_CP032308.fa,1,2,78,99
NZ_CP025685.fa,1,1,41,48
NZ_CP035220.fa,1,4,81,102
NZ_CP030110.fa,1,2,8,8
NZ_CP043484.fa,1,1,87,110
NZ_CP033376.fa,1,1,68,81
NZ_CP042834.fa,1,1,62,74
NZ_CP040878.fa,1,1,2,2
NZ_CP035136.fa,1,1,61,73
NZ_CP006030.fa,2,3,19,20
NZ_CP033041.fa,2,3,19,85
