,0.98,0.99,0.999,0.9999
NZ_CP033243.fa,0,1,36,44
NZ_CP020591.fa,0,0,12,12
NZ_CP019114.fa,0,0,9,9
NZ_CP014540.fa,0,0,0,0
NZ_CP024612.fa,0,0,10,132
NZ_CP021321.fa,0,0,9,9
NZ_CP023020.fa,0,1,68,87
NZ_CP017152.fa,0,0,75,100
NZ_CP014215.fa,0,0,2,77
NZ_CP040087.fa,0,0,58,72
NZ_CP010779.fa,0,0,10,32
NZ_CP035186.fa,0,0,10,38
NZ_CP020584.fa,0,0,51,108
NZ_CP020579.fa,0,0,51,90
NZ_CP026711.fa,0,1,60,75
NZ_CP042841.fa,0,0,86,122
NZ_CP007535.fa,0,0,9,79
NZ_CP019217.fa,0,0,9,9
NZ_CP014539.fa,0,0,10,10
NZ_CP020592.fa,0,0,12,14
NZ_CP018256.fa,0,0,10,56
NZ_CP026707.fa,0,0,44,53
NZ_LN997846.fa,0,11,34,101
NZ_LN865143.fa,0,11,34,42
NZ_CP024124.fa,0,0,10,29
NZ_CP017650.fa,0,0,13,13
NZ_CP022283.fa,0,20,65,84
NZ_CP040084.fa,0,0,37,46
NC_017847.fa,0,0,17,19
NZ_CP026338.fa,0,1,38,47
NZ_CP030083.fa,0,0,9,9
NZ_CP017654.fa,0,0,51,64
NC_017162.fa,0,0,62,80
NZ_CP017652.fa,0,0,13,13
NZ_CP009257.fa,0,1,53,66
NZ_CP023140.fa,0,0,10,34
NZ_CP046536.fa,0,5,11,11
NZ_CP017642.fa,0,0,7,129
NZ_CP039520.fa,0,0,10,74
NZ_CP018332.fa,0,30,91,127
NZ_CP040259.fa,0,20,76,102
NZ_CP009534.fa,0,1,1,1
NZ_CP021326.fa,0,0,10,32
NC_018706.fa,0,0,78,107
NZ_CP020581.fa,0,0,51,119
NZ_CP023026.fa,0,0,10,63
NZ_CP017656.fa,0,0,82,116
NZ_CP039993.fa,0,0,10,74
NZ_CP014541.fa,0,0,61,78
NZ_CP024576.fa,0,0,29,36
NZ_CP043418.fa,0,0,10,38
NZ_CP017644.fa,0,0,13,121
