,0.98,0.99,0.999,0.9999
NZ_CP043433.fa,0,4,4,9
NZ_CP015924.fa,0,4,48,202
NZ_CP039561.fa,0,4,6,33
NZ_CP029890.fa,0,0,0,2
NZ_CP029922.fa,0,0,0,1
NZ_CP014996.fa,0,18,25,69
NZ_CP029846.fa,0,0,0,1
NZ_CP018637.fa,0,4,4,65
NZ_CP013702.fa,0,4,6,28
NZ_CP035915.fa,0,4,6,175
NZ_CP039503.fa,0,73,171,337
NZ_CP040564.fa,0,4,6,17
NZ_CP039603.fa,0,4,6,18
NZ_CP029856.fa,0,0,0,1
NZ_CP012144.fa,0,4,128,229
NZ_CP017720.fa,0,7,60,241
NZ_LS483493.fa,0,17,29,214
NZ_LT905088.fa,0,0,0,129
NZ_CP014975.fa,0,4,6,26
NZ_CP039593.fa,0,4,6,267
NZ_CP009087.fa,0,4,4,6
NZ_CP019404.fa,0,4,48,80
NZ_CP007540.fa,0,7,11,15
NZ_CP007252.fa,0,4,4,6
NZ_CP038432.fa,0,4,6,17
NZ_CP032384.fa,0,4,19,30
NZ_CP040644.fa,0,4,4,6
NC_006905.fa,0,46,161,361
NZ_CP008928.fa,0,4,4,6
NZ_CP016406.fa,0,37,58,91
NZ_CP036167.fa,0,22,180,363
NZ_CP029800.fa,0,38,59,255
NZ_CP030207.fa,0,4,19,318
NZ_CP009092.fa,0,4,4,6
NZ_CP038847.fa,0,4,6,303
NZ_CP039493.fa,0,17,24,39
NZ_CP033344.fa,0,7,9,13
NZ_CP039482.fa,0,17,24,39
NZ_CP020752.fa,0,7,11,15
NZ_CP009083.fa,0,4,4,6
NZ_CP025449.fa,0,23,36,186
NZ_CP046291.fa,0,32,92,155
NZ_CP022658.fa,0,4,31,49
NZ_CP019206.fa,0,4,133,250
NZ_CP032393.fa,0,4,19,30
NZ_CP032494.fa,0,4,6,47
NZ_LT904884.fa,0,0,0,2
NZ_CP034721.fa,0,5,34,54
NZ_CP007269.fa,0,4,4,6
NZ_CP024164.fa,0,9,13,21
NZ_CP005995.fa,0,4,8,12
NZ_CP019197.fa,0,7,9,13
NZ_CP030211.fa,0,4,166,328
NZ_LT855376.fa,0,4,6,261
NC_012125.fa,0,46,77,283
NZ_CP025278.fa,0,19,26,132
NZ_CP019383.fa,0,4,4,9
NZ_LS997973.fa,0,4,6,286
NZ_CP025234.fa,0,4,10,14
NZ_CP007246.fa,0,4,4,6
NZ_CP014661.fa,0,38,59,352
NC_011094.fa,0,7,109,184
NZ_CP025745.fa,0,17,29,46
NZ_CP012930.fa,0,4,8,12
NZ_CP007271.fa,0,4,4,9
NZ_CP039509.fa,0,73,171,337
NZ_CP030202.fa,0,4,74,120
NZ_CP016754.fa,0,4,4,9
NZ_CP043773.fa,0,46,77,124
NZ_CP017727.fa,0,41,67,102
NZ_CP007175.fa,0,4,4,6
NZ_CP007272.fa,0,4,4,9
NZ_CP029888.fa,0,0,0,1
NZ_CP038604.fa,0,33,50,82
NZ_CP041183.fa,0,38,59,346
NZ_CP019413.fa,0,35,56,89
NZ_CP034177.fa,0,17,24,39
NZ_CP034232.fa,0,9,13,21
NC_021820.fa,0,4,6,44
NZ_CP028729.fa,0,17,29,290
NZ_LR134232.fa,0,17,29,66
NZ_CP033360.fa,0,47,85,142
NZ_CP016565.fa,0,4,8,12
NZ_CP007581.fa,0,4,6,26
NZ_CP007532.fa,0,7,177,357
NZ_CP017974.fa,0,7,121,218
NZ_CP029917.fa,0,0,0,1
NZ_CP029944.fa,0,0,0,1
NZ_CP017177.fa,0,4,4,9
NZ_CP046277.fa,0,7,111,188
NZ_CP032304.fa,0,4,75,121
NZ_CP029897.fa,0,0,0,2
NZ_CP014983.fa,0,4,6,61
NZ_CP029999.fa,0,7,81,190
NZ_CP022497.fa,0,4,61,96
NZ_CP018219.fa,0,4,6,26
NZ_CP024165.fa,0,7,62,97
NZ_LT904870.fa,0,0,0,32
NZ_CP035917.fa,0,4,6,33
NZ_CP022003.fa,0,4,4,6
NZ_CP039582.fa,0,4,6,26
NZ_CP032816.fa,0,7,11,15
NZ_CP037960.fa,0,30,44,75
NZ_CP007286.fa,0,4,4,9
NZ_CP029962.fa,0,0,0,1
NZ_CP041699.fa,0,52,104,174
NZ_CP016563.fa,0,4,8,12
NZ_CP025273.fa,0,4,10,14
NZ_CP032379.fa,0,4,19,30
NZ_CP017617.fa,0,4,6,330
NZ_CP007291.fa,0,4,4,9
NZ_CP030936.fa,0,0,0,64
NZ_CP025453.fa,0,23,36,186
NZ_CP007507.fa,0,4,4,6
NZ_CP007434.fa,0,4,4,9
NZ_CP039469.fa,0,17,24,39
NZ_CP011942.fa,0,4,4,6
NZ_CP039496.fa,0,17,24,39
NZ_CP018645.fa,0,4,4,6
NZ_LT904881.fa,0,0,0,1
NZ_CP022491.fa,0,4,88,246
NC_011294.fa,0,4,4,9
NZ_CP044957.fa,0,4,6,44
NZ_CP041179.fa,0,52,104,311
NZ_CP029928.fa,0,0,0,2
NZ_CP022019.fa,0,7,89,150
NZ_LR134145.fa,0,22,35,55
NZ_CP040648.fa,0,4,6,181
NZ_CP015574.fa,0,24,38,138
NZ_CP019410.fa,0,32,49,81
NZ_CP024169.fa,0,9,13,21
NZ_CP032387.fa,0,4,19,30
NZ_CP039279.fa,0,33,50,82
NZ_CP039491.fa,0,17,24,39
NZ_CP029956.fa,0,0,0,2
NZ_CP029911.fa,0,0,0,1
NZ_CP015024.fa,0,23,36,56
NZ_CP029964.fa,0,0,0,1
NZ_CP040700.fa,0,4,133,244
NZ_CP039595.fa,0,4,6,71
NZ_CP034716.fa,0,41,159,305
NZ_CP016385.fa,0,4,6,208
NZ_CP025237.fa,0,4,10,14
NZ_CP030024.fa,0,36,57,235
NZ_CP039486.fa,0,17,24,39
NZ_CP022069.fa,0,4,150,282
NZ_CP019414.fa,0,25,39,63
NZ_CP041171.fa,0,17,29,151
NZ_CP029035.fa,0,7,83,136
NZ_CP040646.fa,0,4,4,6
NZ_CP040900.fa,0,4,6,196
NZ_CP029919.fa,0,0,0,125
NZ_LT904891.fa,0,0,0,103
NZ_CP029850.fa,0,0,0,1
NZ_CP039591.fa,0,4,6,26
NZ_CP011365.fa,0,19,26,316
NZ_CP021462.fa,0,4,6,286
NZ_CP012985.fa,0,4,6,26
NZ_CP039564.fa,0,4,6,33
NZ_CP039567.fa,0,4,6,44
NZ_CP033348.fa,0,79,183,379
NC_016810.fa,0,4,6,72
NZ_CP040458.fa,0,4,6,33
NC_020307.fa,0,7,15,23
NZ_CP023436.fa,0,4,4,9
NZ_LS483455.fa,0,7,160,309
NZ_CP009768.fa,0,4,4,9
NZ_CP020492.fa,0,64,145,270
NZ_CP012514.fa,0,17,29,284
NZ_CP045949.fa,0,4,6,114
NZ_CP041208.fa,0,4,10,14
NZ_CP021909.fa,0,4,6,79
NZ_CP045954.fa,0,4,28,45
NZ_CP029896.fa,0,0,0,1
NZ_CP030005.fa,0,4,123,221
NZ_CP029864.fa,0,0,0,1
NZ_CP039471.fa,0,17,24,39
NZ_CP007360.fa,0,4,4,9
NZ_CP040318.fa,0,4,6,181
NZ_CP029038.fa,0,8,12,25
NZ_CP039467.fa,0,17,24,39
NC_022569.fa,0,4,6,26
NC_021984.fa,0,4,143,326
NZ_CP044186.fa,0,42,69,145
NZ_CP029949.fa,0,0,0,1
NZ_CP007216.fa,0,4,48,133
NZ_CP026609.fa,0,54,114,243
NC_016831.fa,0,4,143,268
NZ_CP043214.fa,0,4,8,12
NZ_CP041184.fa,0,38,59,126
NZ_CP045958.fa,0,46,176,356
NZ_CP019408.fa,0,4,8,302
NZ_CP025452.fa,0,23,36,186
NZ_CP019403.fa,0,31,46,77
NZ_CP039585.fa,0,4,6,210
NZ_CP028318.fa,0,4,6,26
NZ_CP045444.fa,0,7,109,197
NZ_CP029946.fa,0,0,0,1
NZ_CP012599.fa,0,4,10,14
NZ_CP007253.fa,0,4,4,6
NZ_CP029646.fa,0,0,0,1
NZ_CP008925.fa,0,2,2,315
NZ_CP014967.fa,0,4,6,26
NZ_CP014659.fa,0,38,59,139
NZ_CP029852.fa,0,0,0,1
NZ_CP019179.fa,0,4,19,299
NZ_CP043662.fa,0,58,124,223
NZ_CP028311.fa,0,4,8,12
NZ_CP030223.fa,0,7,102,172
NZ_CP016010.fa,0,4,48,80
NZ_CP025217.fa,0,9,13,35
NZ_CP043222.fa,0,7,94,157
NZ_CP034703.fa,0,28,42,73
NZ_CP019418.fa,0,4,61,123
NZ_LR134233.fa,0,78,182,378
NZ_CP043402.fa,0,4,6,17
NZ_CP040651.fa,0,4,6,203
NZ_CP012347.fa,0,4,143,304
NZ_CP015526.fa,0,4,4,9
NZ_CP030203.fa,0,44,73,119
NZ_CP029909.fa,0,0,0,2
NZ_CP033352.fa,0,4,6,260
NZ_CP011791.fa,0,4,4,107
NZ_CP011394.fa,0,4,4,9
NZ_CP039499.fa,0,17,24,39
NZ_CP016586.fa,0,4,8,12
NZ_CP044200.fa,0,12,17,27
NZ_LR134187.fa,0,66,152,288
NZ_CP029883.fa,0,0,0,1
NZ_CP034230.fa,0,4,6,17
NC_011147.fa,0,43,72,113
NZ_CP033257.fa,0,4,6,33
NZ_CP025451.fa,0,23,36,186
NZ_CP017978.fa,0,7,108,183
NZ_CP029904.fa,0,0,0,1
NZ_CP009084.fa,0,4,4,6
NZ_CP019186.fa,0,7,148,278
NZ_CP025559.fa,0,4,4,9
NZ_CP040380.fa,0,7,11,15
NZ_CP040699.fa,0,17,29,46
NZ_CP020565.fa,0,4,88,171
NZ_CP018648.fa,0,4,4,6
NZ_CP007250.fa,0,4,4,6
NZ_CP039607.fa,0,4,6,33
NZ_CP013097.fa,0,4,4,6
NZ_CP029593.fa,0,4,6,26
NZ_CP022963.fa,0,4,143,340
NZ_LT904875.fa,0,0,0,1
NC_022525.fa,0,17,29,46
NZ_CP024168.fa,0,9,13,21
NZ_CP029875.fa,0,0,0,1
NZ_CP029880.fa,0,0,0,1
NZ_CP029568.fa,0,4,6,33
NZ_CP029950.fa,0,0,0,0
NZ_CP018651.fa,0,4,4,37
NZ_CP009090.fa,0,4,4,6
NZ_CP032815.fa,0,19,26,132
NC_022544.fa,0,4,6,162
NZ_LT904868.fa,0,0,0,2
NZ_CP007425.fa,0,4,4,9
NZ_CP025280.fa,0,7,81,131
NZ_CP013222.fa,0,38,59,263
NZ_CP016510.fa,0,4,8,12
NZ_CP046279.fa,0,7,134,245
NZ_LR134153.fa,0,15,21,34
NZ_CP027677.fa,0,12,17,219
NZ_CP022070.fa,0,4,6,334
NZ_CP007245.fa,0,4,4,6
NZ_LS483419.fa,0,17,29,377
NC_010102.fa,0,22,78,127
NZ_CP020101.fa,0,4,8,12
NZ_CP014665.fa,0,38,59,298
NZ_CP029868.fa,0,0,0,1
NZ_CP029952.fa,0,0,0,1
NC_011205.fa,0,4,19,189
NZ_CP039856.fa,0,4,6,33
NZ_LN890520.fa,0,18,25,41
NZ_LR590081.fa,0,0,0,226
NZ_CP029853.fa,0,0,0,0
NZ_CP023475.fa,0,4,4,9
NZ_CP014994.fa,0,9,13,35
NZ_CP012921.fa,0,4,8,12
NZ_LN999997.fa,0,4,6,33
NZ_CP039610.fa,0,4,6,33
NZ_CP013720.fa,0,4,6,322
NZ_CP009561.fa,0,4,10,14
NZ_CP025445.fa,0,23,36,186
NZ_CP043664.fa,0,57,119,215
NZ_CP017972.fa,0,7,11,15
NZ_CP032444.fa,0,61,132,236
NZ_CP030288.fa,0,7,120,216
NZ_CP011396.fa,0,17,29,66
NZ_CP044203.fa,0,8,12,19
NZ_LR134146.fa,0,20,30,48
NZ_CP045447.fa,0,7,109,197
NZ_CP026327.fa,0,57,119,360
NZ_LT904867.fa,0,0,0,16
NZ_CP016012.fa,0,4,10,14
NZ_CP038601.fa,0,8,12,348
NZ_CP026713.fa,0,4,4,9
NZ_CP007312.fa,0,4,4,9
NZ_CP028196.fa,0,71,163,313
NZ_CP026379.fa,0,33,50,82
NZ_CP019406.fa,0,4,4,137
NZ_CP030217.fa,0,7,157,300
NC_021818.fa,0,42,69,110
NZ_CP039169.fa,0,30,44,75
NZ_CP016504.fa,0,4,8,12
NZ_CP035301.fa,0,4,6,8
NZ_LT904883.fa,0,0,0,103
NZ_LT904876.fa,0,0,0,103
NZ_CP039484.fa,0,17,24,39
NZ_CP025736.fa,0,4,6,240
NZ_CP019172.fa,0,4,133,250
NZ_CP041173.fa,0,4,4,9
NZ_CP039713.fa,0,4,6,280
NZ_CP024619.fa,0,4,135,247
NZ_CP015598.fa,0,4,6,26
NZ_CP029902.fa,0,0,0,2
NZ_CP030209.fa,0,50,99,165
NZ_LT905062.fa,0,0,0,358
NZ_CP018633.fa,0,4,4,307
NZ_CP034479.fa,0,4,6,17
NZ_CP028169.fa,0,8,12,338
NZ_CP028131.fa,0,52,104,314
NZ_CP014977.fa,0,4,6,61
NZ_CP007251.fa,0,4,4,206
NZ_CP030794.fa,0,4,4,9
NC_016854.fa,0,4,6,286
NZ_CP029039.fa,0,7,83,136
NZ_CP041005.fa,0,4,6,79
NZ_CP039854.fa,0,4,6,217
NZ_CP029914.fa,0,0,0,125
NZ_CP025232.fa,0,4,71,222
NZ_CP018659.fa,0,4,4,6
NZ_CP009102.fa,0,4,6,115
NZ_CP039463.fa,0,17,24,39
NZ_CP016573.fa,0,4,8,12
NZ_CP040575.fa,0,0,0,1
NZ_CP032851.fa,0,4,4,9
NZ_LT795114.fa,0,4,6,33
NZ_CP012833.fa,0,2,2,4
NZ_CP034707.fa,0,70,162,312
NZ_CP022494.fa,0,54,107,182
NZ_CP026976.fa,0,4,8,12
NZ_CP039478.fa,0,17,24,39
NZ_CP026569.fa,0,4,4,9
NZ_CP019442.fa,0,4,6,33
NZ_CP007283.fa,0,4,4,9
NZ_CP017970.fa,0,7,11,15
NZ_CP029906.fa,0,0,0,125
NZ_CP030190.fa,0,55,112,192
NZ_LS483489.fa,0,7,169,335
NZ_CP028900.fa,0,45,76,122
NZ_CP029881.fa,0,0,0,2
NZ_CP040379.fa,0,7,11,15
NZ_CP045945.fa,0,24,38,294
NZ_CP022663.fa,0,56,117,205
NZ_LT905142.fa,0,0,0,64
NZ_CP013685.fa,0,4,10,14
NZ_CP019415.fa,0,4,4,373
NZ_LT904887.fa,0,0,0,108
NZ_CP019202.fa,0,37,58,116
NZ_LT904854.fa,0,0,0,129
NZ_CP019412.fa,0,7,68,105
NZ_LR134144.fa,0,5,5,7
NZ_CP046280.fa,0,7,95,159
NZ_CP039477.fa,0,17,24,39
NZ_CP014356.fa,0,4,6,308
NZ_CP016014.fa,0,4,55,88
